Query,Answer
what is ai,"In computer science, artificial intelligence, sometimes called machine intelligence, is intelligence demonstrated by machines, unlike the natural intelligence displayed by humans and animals."
what is ml,Machine learning is the study of computer algorithms that improve automatically through experience. It is seen as a subset of artificial intelligence.
what is python,"Python is an interpreted, high-level, general-purpose programming language. Created by Guido van Rossum and first released in 1991, Python's design philosophy emphasizes code readability with its notable use of significant whitespace."
who is neil armstron,"Neil Armstrong was a NASA astronaut most famous for being the first person to walk on the moon, on July 20, 1969. Armstrong also flew on NASA's Gemini 8 mission in 1966. He retired from NASA in 1971 and remained active in the aerospace community, although he chose to keep mostly out of the public spotlight."
how many pins are in rasberry pi,"40
"
who is the king of bollywood,"Shah Rukh Khan
"
height of burj khalifa,"The Burj Khalifa, known as the Burj Dubai prior to its inauguration in 2010, is a skyscraper in Dubai, United Arab Emirates. With a total height of 829.8 m and a roof height of 828 m, the Burj Khalifa has been the tallest structure and building in the world since its topping out in 2009."
how tall is eifle tower,"The Eiffel Tower is a wrought-iron lattice tower on the Champ de Mars in Paris, France. It is named after the engineer Gustave Eiffel, whose company designed and built the tower."
no of deg breeds present in the world,"“The AKC recognizes 195 breeds, with 79 additional breeds working toward full recognition,” says Gina DiNardo, executive secretary of the American Kennel Club (AKC)."
what is ai,"In computer science, artificial intelligence, sometimes called machine intelligence, is intelligence demonstrated by machines, unlike the natural intelligence displayed by humans and animals."
what is ai,"In computer science, artificial intelligence, sometimes called machine intelligence, is intelligence demonstrated by machines, unlike the natural intelligence displayed by humans and animals."
google colab,"40
"
sumy python library,"Anthony Edward Stark is a fictional character portrayed by Robert Downey Jr. in the Marvel Cinematic Universe (MCU) film franchise—based on the Marvel Comics character of the same name—commonly known by his alter ego, Iron Man."
sumy python, pip install sumy copy pip instructions released: may 19 2019 module for automatic summarization of text documents and html pages. the package also contains simple evaluation framework for text summaries. © 2020 python software foundation site map supported by module for automatic summarization of text documents and html pages. implemented summarization methods:here are some other summarizers:make sure you have python 2.7/3.3+ and pip (windows linux) installed. simple library and command line utility for extracting summary from html pages or plain texts.
sumy python, pip install sumy copy pip instructions released: may 19 2019 module for automatic summarization of text documents and html pages. the package also contains simple evaluation framework for text summaries. © 2020 python software foundation site map supported by module for automatic summarization of text documents and html pages. implemented summarization methods:here are some other summarizers:make sure you have python 2.7/3.3+ and pip (windows linux) installed. simple library and command line utility for extracting summary from html pages or plain texts.
what is ai,"Artificial intelligence, sometimes called machine intelligence, is intelligence demonstrated by machines, unlike the natural intelligence displayed by humans and animals."
